Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-05,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-05,7
Cumulative number of probable Ebola cases,Mali,2015-03-05,1
Cumulative number of suspected Ebola cases,Mali,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-05,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-05,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-05,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-05,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-05,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-05,1
Cumulative number of probable Ebola cases,Senegal,2015-03-05,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-05,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-05,1
Cumulative number of probable Ebola cases,Spain,2015-03-05,0
Cumulative number of suspected Ebola cases,Spain,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-05,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-05,4
Cumulative number of probable Ebola cases,United States of America,2015-03-05,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-05,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-05,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-05,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-05,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-05,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-05,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-05,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-05,0
Cumulative number of probable Ebola deaths,Spain,2015-03-05,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-05,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-05,1
