Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-08-07,1
Cumulative number of confirmed Ebola cases,Mali,2015-08-07,7
Cumulative number of probable Ebola cases,Mali,2015-08-07,1
Cumulative number of suspected Ebola cases,Mali,2015-08-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-07,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-07,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-08-07,19
Cumulative number of probable Ebola cases,Nigeria,2015-08-07,1
Cumulative number of suspected Ebola cases,Nigeria,2015-08-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-07,20
Cumulative number of confirmed Ebola cases,Senegal,2015-08-07,1
Cumulative number of probable Ebola cases,Senegal,2015-08-07,0
Cumulative number of suspected Ebola cases,Senegal,2015-08-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-07,1
Cumulative number of confirmed Ebola cases,Spain,2015-08-07,1
Cumulative number of probable Ebola cases,Spain,2015-08-07,0
Cumulative number of suspected Ebola cases,Spain,2015-08-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-07,1
Cumulative number of confirmed Ebola cases,United States of America,2015-08-07,4
Cumulative number of probable Ebola cases,United States of America,2015-08-07,0
Cumulative number of suspected Ebola cases,United States of America,2015-08-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-08-07,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-08-07,7
Cumulative number of probable Ebola deaths,Nigeria,2015-08-07,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-08-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-07,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-08-07,0
Cumulative number of probable Ebola deaths,Senegal,2015-08-07,0
Cumulative number of suspected Ebola deaths,Senegal,2015-08-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-07,0
Cumulative number of confirmed Ebola deaths,Spain,2015-08-07,0
Cumulative number of probable Ebola deaths,Spain,2015-08-07,0
Cumulative number of suspected Ebola deaths,Spain,2015-08-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-07,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-08-07,1
Cumulative number of probable Ebola deaths,United States of America,2015-08-07,0
Cumulative number of suspected Ebola deaths,United States of America,2015-08-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-08-07,1
Cumulative number of probable Ebola cases,Sierra Leone,2015-08-10,287
Cumulative number of confirmed Ebola cases,Liberia,2015-08-10,3151
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-08-10,13465
Cumulative number of suspected Ebola cases,Sierra Leone,2015-08-10,4481
Cumulative number of probable Ebola cases,Liberia,2015-08-10,1879
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-10,10666
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-08-10,8697
Cumulative number of suspected Ebola cases,Guinea,2015-08-10,10
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-10,4806
Cumulative number of probable Ebola deaths,Sierra Leone,2015-08-10,208
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-08-10,3951
Cumulative number of confirmed Ebola deaths,Guinea,2015-08-10,2072
Cumulative number of probable Ebola deaths,Guinea,2015-08-10,452
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-08-10,3585
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-10,2524
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-08-10,158
Cumulative number of suspected Ebola cases,Liberia,2015-08-10,5636
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-10,3791
Cumulative number of confirmed Ebola cases,Guinea,2015-08-10,3329
Cumulative number of probable Ebola cases,Guinea,2015-08-10,452
Cumulative number of confirmed Ebola deaths,Liberia 2,2015-08-10,2
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015-08-10,2
Cumulative number of probable Ebola cases,Liberia 2,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015-08-10,6
Cumulative number of confirmed Ebola cases,Liberia 2,2015-08-10,6
Cumulative number of confirmed Ebola cases,Italy,2015-08-10,1
Cumulative number of probable Ebola cases,Italy,2015-08-10,0
Cumulative number of suspected Ebola cases,Italy,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-10,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-08-10,1
Cumulative number of probable Ebola cases,United Kingdom,2015-08-10,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-08-10,1
Cumulative number of confirmed Ebola cases,Mali,2015-08-10,7
Cumulative number of probable Ebola cases,Mali,2015-08-10,1
Cumulative number of suspected Ebola cases,Mali,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-10,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-10,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-08-10,19
Cumulative number of probable Ebola cases,Nigeria,2015-08-10,1
Cumulative number of suspected Ebola cases,Nigeria,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-10,20
Cumulative number of confirmed Ebola cases,Senegal,2015-08-10,1
Cumulative number of probable Ebola cases,Senegal,2015-08-10,0
Cumulative number of suspected Ebola cases,Senegal,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-10,1
Cumulative number of confirmed Ebola cases,Spain,2015-08-10,1
Cumulative number of probable Ebola cases,Spain,2015-08-10,0
Cumulative number of suspected Ebola cases,Spain,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-10,1
Cumulative number of confirmed Ebola cases,United States of America,2015-08-10,4
Cumulative number of probable Ebola cases,United States of America,2015-08-10,0
Cumulative number of suspected Ebola cases,United States of America,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-08-10,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-08-10,7
Cumulative number of probable Ebola deaths,Nigeria,2015-08-10,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-10,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-08-10,0
Cumulative number of probable Ebola deaths,Senegal,2015-08-10,0
Cumulative number of suspected Ebola deaths,Senegal,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-10,0
Cumulative number of confirmed Ebola deaths,Spain,2015-08-10,0
Cumulative number of probable Ebola deaths,Spain,2015-08-10,0
Cumulative number of suspected Ebola deaths,Spain,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-10,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-08-10,1
Cumulative number of probable Ebola deaths,United States of America,2015-08-10,0
Cumulative number of suspected Ebola deaths,United States of America,2015-08-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-08-10,1
Cumulative number of probable Ebola cases,Sierra Leone,2015-08-11,287
Cumulative number of confirmed Ebola cases,Liberia,2015-08-11,3151
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-08-11,3585
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-11,4806
Cumulative number of suspected Ebola cases,Sierra Leone,2015-08-11,4486
Cumulative number of probable Ebola cases,Liberia,2015-08-11,1879
Cumulative number of suspected Ebola cases,Liberia,2015-08-11,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-08-11,3951
Cumulative number of probable Ebola deaths,Guinea,2015-08-11,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-08-11,13470
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-08-11,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-11,10666
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-11,3787
Cumulative number of probable Ebola deaths,Sierra Leone,2015-08-11,208
Cumulative number of confirmed Ebola deaths,Guinea,2015-08-11,2072
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-08-11,8697
Cumulative number of suspected Ebola cases,Guinea,2015-08-11,6
Cumulative number of confirmed Ebola cases,Guinea,2015-08-11,3329
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-11,2524
Cumulative number of probable Ebola cases,Guinea,2015-08-11,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015-08-11,6
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015-08-11,2
Cumulative number of confirmed Ebola deaths,Liberia 2,2015-08-11,2
Cumulative number of probable Ebola cases,Liberia 2,2015-08-11,0
Cumulative number of confirmed Ebola cases,Liberia 2,2015-08-11,6
Cumulative number of confirmed Ebola cases,Italy,2015-08-11,1
Cumulative number of probable Ebola cases,Italy,2015-08-11,0
Cumulative number of suspected Ebola cases,Italy,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-11,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-08-11,1
Cumulative number of probable Ebola cases,United Kingdom,2015-08-11,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-08-11,1
Cumulative number of confirmed Ebola cases,Mali,2015-08-11,7
Cumulative number of probable Ebola cases,Mali,2015-08-11,1
Cumulative number of suspected Ebola cases,Mali,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-11,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-11,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-08-11,19
Cumulative number of probable Ebola cases,Nigeria,2015-08-11,1
Cumulative number of suspected Ebola cases,Nigeria,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-11,20
Cumulative number of confirmed Ebola cases,Senegal,2015-08-11,1
Cumulative number of probable Ebola cases,Senegal,2015-08-11,0
Cumulative number of suspected Ebola cases,Senegal,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-11,1
Cumulative number of confirmed Ebola cases,Spain,2015-08-11,1
Cumulative number of probable Ebola cases,Spain,2015-08-11,0
Cumulative number of suspected Ebola cases,Spain,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-11,1
Cumulative number of confirmed Ebola cases,United States of America,2015-08-11,4
Cumulative number of probable Ebola cases,United States of America,2015-08-11,0
Cumulative number of suspected Ebola cases,United States of America,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-08-11,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-08-11,7
Cumulative number of probable Ebola deaths,Nigeria,2015-08-11,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-11,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-08-11,0
Cumulative number of probable Ebola deaths,Senegal,2015-08-11,0
Cumulative number of suspected Ebola deaths,Senegal,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-11,0
Cumulative number of confirmed Ebola deaths,Spain,2015-08-11,0
Cumulative number of probable Ebola deaths,Spain,2015-08-11,0
Cumulative number of suspected Ebola deaths,Spain,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-11,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-08-11,1
Cumulative number of probable Ebola deaths,United States of America,2015-08-11,0
Cumulative number of suspected Ebola deaths,United States of America,2015-08-11,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-08-11,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-12,10666
Cumulative number of probable Ebola cases,Guinea,2015-08-12,452
Cumulative number of confirmed Ebola deaths,Guinea,2015-08-12,2072
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2015-08-12,6
Cumulative number of confirmed Ebola cases,Liberia,2015-08-12,3151
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-08-12,3585
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-08-12,3951
Cumulative number of probable Ebola cases,Liberia,2015-08-12,1879
Cumulative number of probable Ebola deaths,Sierra Leone,2015-08-12,208
Cumulative number of suspected Ebola cases,Liberia,2015-08-12,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-12,2524
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-08-12,158
Cumulative number of suspected Ebola cases,Sierra Leone,2015-08-12,4486
Number of confirmed Ebola cases in the last 21 days,Guinea,2015-08-12,7
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-08-12,8697
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-08-12,13470
Cumulative number of suspected Ebola cases,Guinea,2015-08-12,6
Cumulative number of probable Ebola cases,Sierra Leone,2015-08-12,287
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-12,3787
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015-08-12,7
Cumulative number of confirmed Ebola cases,Guinea,2015-08-12,3329
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2015-08-12,6
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-12,4806
Cumulative number of probable Ebola deaths,Guinea,2015-08-12,452
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015-08-12,2
Cumulative number of confirmed Ebola cases,Liberia 2,2015-08-12,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015-08-12,6
Number of confirmed Ebola cases in the last 21 days,Liberia 2,2015-08-12,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia 2,2015-08-12,0
Cumulative number of probable Ebola cases,Liberia 2,2015-08-12,0
Cumulative number of confirmed Ebola deaths,Liberia 2,2015-08-12,2
Cumulative number of confirmed Ebola cases,Italy,2015-08-12,1
Cumulative number of probable Ebola cases,Italy,2015-08-12,0
Cumulative number of suspected Ebola cases,Italy,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-12,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-08-12,1
Cumulative number of probable Ebola cases,United Kingdom,2015-08-12,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-08-12,1
Cumulative number of confirmed Ebola cases,Mali,2015-08-12,7
Cumulative number of probable Ebola cases,Mali,2015-08-12,1
Cumulative number of suspected Ebola cases,Mali,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-12,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-12,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-08-12,19
Cumulative number of probable Ebola cases,Nigeria,2015-08-12,1
Cumulative number of suspected Ebola cases,Nigeria,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-12,20
Cumulative number of confirmed Ebola cases,Senegal,2015-08-12,1
Cumulative number of probable Ebola cases,Senegal,2015-08-12,0
Cumulative number of suspected Ebola cases,Senegal,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-12,1
Cumulative number of confirmed Ebola cases,Spain,2015-08-12,1
Cumulative number of probable Ebola cases,Spain,2015-08-12,0
Cumulative number of suspected Ebola cases,Spain,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-12,1
Cumulative number of confirmed Ebola cases,United States of America,2015-08-12,4
Cumulative number of probable Ebola cases,United States of America,2015-08-12,0
Cumulative number of suspected Ebola cases,United States of America,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-08-12,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-08-12,7
Cumulative number of probable Ebola deaths,Nigeria,2015-08-12,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-12,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-08-12,0
Cumulative number of probable Ebola deaths,Senegal,2015-08-12,0
Cumulative number of suspected Ebola deaths,Senegal,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-12,0
Cumulative number of confirmed Ebola deaths,Spain,2015-08-12,0
Cumulative number of probable Ebola deaths,Spain,2015-08-12,0
Cumulative number of suspected Ebola deaths,Spain,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-12,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-08-12,1
Cumulative number of probable Ebola deaths,United States of America,2015-08-12,0
Cumulative number of suspected Ebola deaths,United States of America,2015-08-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-08-12,1
Cumulative number of confirmed Ebola deaths,Guinea,2015-08-13,2072
Cumulative number of suspected Ebola cases,Guinea,2015-08-13,10
Cumulative number of probable Ebola deaths,Guinea,2015-08-13,452
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-13,2524
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-08-13,3951
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-08-13,158
Cumulative number of suspected Ebola cases,Liberia,2015-08-13,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-13,4806
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-08-13,3585
Cumulative number of probable Ebola deaths,Sierra Leone,2015-08-13,208
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-08-13,8697
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-13,3792
Cumulative number of confirmed Ebola cases,Liberia,2015-08-13,3151
Cumulative number of suspected Ebola cases,Sierra Leone,2015-08-13,4500
Cumulative number of probable Ebola cases,Guinea,2015-08-13,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-13,10666
Cumulative number of probable Ebola cases,Sierra Leone,2015-08-13,287
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-08-13,13484
Cumulative number of confirmed Ebola cases,Guinea,2015-08-13,3330
Cumulative number of probable Ebola cases,Liberia,2015-08-13,1879
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015-08-13,2
Cumulative number of confirmed Ebola deaths,Liberia 2,2015-08-13,2
Cumulative number of probable Ebola cases,Liberia 2,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015-08-13,6
Cumulative number of confirmed Ebola cases,Liberia 2,2015-08-13,6
Cumulative number of confirmed Ebola cases,Italy,2015-08-13,1
Cumulative number of probable Ebola cases,Italy,2015-08-13,0
Cumulative number of suspected Ebola cases,Italy,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-13,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-08-13,1
Cumulative number of probable Ebola cases,United Kingdom,2015-08-13,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-08-13,1
Cumulative number of confirmed Ebola cases,Mali,2015-08-13,7
Cumulative number of probable Ebola cases,Mali,2015-08-13,1
Cumulative number of suspected Ebola cases,Mali,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-13,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-13,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-08-13,19
Cumulative number of probable Ebola cases,Nigeria,2015-08-13,1
Cumulative number of suspected Ebola cases,Nigeria,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-13,20
Cumulative number of confirmed Ebola cases,Senegal,2015-08-13,1
Cumulative number of probable Ebola cases,Senegal,2015-08-13,0
Cumulative number of suspected Ebola cases,Senegal,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-13,1
Cumulative number of confirmed Ebola cases,Spain,2015-08-13,1
Cumulative number of probable Ebola cases,Spain,2015-08-13,0
Cumulative number of suspected Ebola cases,Spain,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-13,1
Cumulative number of confirmed Ebola cases,United States of America,2015-08-13,4
Cumulative number of probable Ebola cases,United States of America,2015-08-13,0
Cumulative number of suspected Ebola cases,United States of America,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-08-13,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-08-13,7
Cumulative number of probable Ebola deaths,Nigeria,2015-08-13,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-13,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-08-13,0
Cumulative number of probable Ebola deaths,Senegal,2015-08-13,0
Cumulative number of suspected Ebola deaths,Senegal,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-13,0
Cumulative number of confirmed Ebola deaths,Spain,2015-08-13,0
Cumulative number of probable Ebola deaths,Spain,2015-08-13,0
Cumulative number of suspected Ebola deaths,Spain,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-13,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-08-13,1
Cumulative number of probable Ebola deaths,United States of America,2015-08-13,0
Cumulative number of suspected Ebola deaths,United States of America,2015-08-13,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-08-13,1
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-08-14,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-14,3791
Cumulative number of probable Ebola deaths,Sierra Leone,2015-08-14,208
Cumulative number of suspected Ebola cases,Liberia,2015-08-14,5636
Cumulative number of confirmed Ebola cases,Liberia,2015-08-14,3151
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-14,2524
Cumulative number of suspected Ebola cases,Sierra Leone,2015-08-14,4501
Cumulative number of probable Ebola cases,Guinea,2015-08-14,452
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-08-14,3952
Cumulative number of suspected Ebola cases,Guinea,2015-08-14,9
Cumulative number of probable Ebola cases,Sierra Leone,2015-08-14,287
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-14,4806
Cumulative number of confirmed Ebola cases,Guinea,2015-08-14,3330
Cumulative number of probable Ebola cases,Liberia,2015-08-14,1879
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-14,10666
Cumulative number of confirmed Ebola deaths,Guinea,2015-08-14,2072
Cumulative number of probable Ebola deaths,Guinea,2015-08-14,452
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-08-14,3586
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-08-14,13485
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-08-14,8697
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015-08-14,6
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015-08-14,2
Cumulative number of probable Ebola cases,Liberia 2,2015-08-14,0
Cumulative number of confirmed Ebola cases,Liberia 2,2015-08-14,6
Cumulative number of confirmed Ebola deaths,Liberia 2,2015-08-14,2
Cumulative number of confirmed Ebola cases,Italy,2015-08-14,1
Cumulative number of probable Ebola cases,Italy,2015-08-14,0
Cumulative number of suspected Ebola cases,Italy,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-14,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-08-14,1
Cumulative number of probable Ebola cases,United Kingdom,2015-08-14,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-08-14,1
Cumulative number of confirmed Ebola cases,Mali,2015-08-14,7
Cumulative number of probable Ebola cases,Mali,2015-08-14,1
Cumulative number of suspected Ebola cases,Mali,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-14,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-14,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-08-14,19
Cumulative number of probable Ebola cases,Nigeria,2015-08-14,1
Cumulative number of suspected Ebola cases,Nigeria,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-14,20
Cumulative number of confirmed Ebola cases,Senegal,2015-08-14,1
Cumulative number of probable Ebola cases,Senegal,2015-08-14,0
Cumulative number of suspected Ebola cases,Senegal,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-14,1
Cumulative number of confirmed Ebola cases,Spain,2015-08-14,1
Cumulative number of probable Ebola cases,Spain,2015-08-14,0
Cumulative number of suspected Ebola cases,Spain,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-14,1
Cumulative number of confirmed Ebola cases,United States of America,2015-08-14,4
Cumulative number of probable Ebola cases,United States of America,2015-08-14,0
Cumulative number of suspected Ebola cases,United States of America,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-08-14,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-08-14,7
Cumulative number of probable Ebola deaths,Nigeria,2015-08-14,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-14,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-08-14,0
Cumulative number of probable Ebola deaths,Senegal,2015-08-14,0
Cumulative number of suspected Ebola deaths,Senegal,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-14,0
Cumulative number of confirmed Ebola deaths,Spain,2015-08-14,0
Cumulative number of probable Ebola deaths,Spain,2015-08-14,0
Cumulative number of suspected Ebola deaths,Spain,2015-08-14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-14,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-08-14,1
